"(SMRT Corporation Ltd,considers,Certificate of Service (COS))"
"(Verztec Consulting Pte Ltd,considers,Certificate of Service (COS))"
"(Sunway Ship Supplies Pte Ltd,considers,Certificate of Service (COS))"
"(Grand Park City Hall,considers,Certificate of Service (COS))"
"(SMRT Corporation Ltd,considers,Certificate of Service (COS))"
"(Verztec Consulting Pte Ltd,supports,NS)"
"(Sunway Ship Supplies Pte Ltd,supports,NS)"
"(Grand Park City Hall,supports,NS)"
"(SMRT Corporation Ltd,supports,NS)"
"(Certificate of Service (COS),provides,information)"
"(Certificate of Service (COS),considers,skills)"
"(Certificate of Service (COS),considers,attributes)"
"(Certificate of Service (COS),considers,personal attributes)"
"(Certificate of Service (COS),considers,skill sets)"
"(Certificate of Service (COS),considers,experiences)"
"(Certificate of Service (COS),considers,leadership qualities)"
"(Certificate of Service (COS),considers,experiences)"
"(Certificate of Service (COS),issued_to,NSFs)"
"(Certificate of Service (COS),issued_to,Nsmen)"
"(Certificate of Service (COS),issued_to,NS)"
